Frame,Direction,Center_X,Center_Y,QR Code Detected,FPS,Centroid Error
1,RIGHT,622,171,N/A,42.12,302
2,RIGHT,622,171,N/A,53.72,302
3,RIGHT,622,171,N/A,48.6,302
4,RIGHT,622,171,N/A,57.94,302
5,RIGHT,622,171,N/A,45.22,302
6,RIGHT,622,171,N/A,59.22,302
7,RIGHT,622,171,N/A,57.49,302
8,RIGHT,622,171,N/A,48.31,302
9,RIGHT,622,171,N/A,47.25,302
10,RIGHT,622,171,N/A,43.63,302
11,RIGHT,622,171,N/A,44.05,302
12,RIGHT,622,171,N/A,47.37,302
13,RIGHT,622,171,N/A,43.89,302
14,RIGHT,622,171,N/A,43.47,302
15,RIGHT,622,171,N/A,45.65,302
16,RIGHT,622,171,N/A,49.23,302
17,RIGHT,622,171,N/A,49.47,302
18,RIGHT,622,171,N/A,50.01,302
19,RIGHT,622,171,N/A,43.66,302
20,RIGHT,622,171,N/A,48.89,302
21,RIGHT,622,171,N/A,47.82,302
22,RIGHT,622,171,N/A,47.18,302
23,RIGHT,622,171,N/A,51.95,302
24,RIGHT,622,171,N/A,46.33,302
25,RIGHT,622,171,N/A,31.11,302
26,RIGHT,622,171,N/A,50.28,302
27,RIGHT,622,171,N/A,50.51,302
28,RIGHT,622,171,N/A,36.49,302
29,RIGHT,622,171,N/A,41.97,302
30,RIGHT,622,171,N/A,48.83,302
31,RIGHT,622,171,N/A,47.52,302
32,RIGHT,622,171,N/A,42.75,302
33,RIGHT,622,171,N/A,47.93,302
34,RIGHT,622,171,N/A,46.2,302
35,RIGHT,622,171,N/A,44.53,302
36,RIGHT,622,171,N/A,59.43,302
37,RIGHT,622,171,N/A,59.85,302
38,RIGHT,622,171,N/A,50.05,302
39,RIGHT,622,171,N/A,49.62,302
40,RIGHT,622,171,N/A,39.79,302
41,RIGHT,622,171,N/A,40.82,302
42,RIGHT,622,171,N/A,46.97,302
43,RIGHT,622,171,N/A,45.51,302
44,RIGHT,622,171,N/A,43.0,302
45,RIGHT,622,171,N/A,43.58,302
46,RIGHT,622,171,N/A,50.23,302
47,RIGHT,622,171,N/A,45.33,302
48,RIGHT,622,171,N/A,29.89,302
49,RIGHT,622,171,N/A,42.66,302
50,RIGHT,622,171,N/A,47.89,302
51,RIGHT,622,171,N/A,50.38,302
52,RIGHT,622,171,N/A,51.76,302
53,FACE_WALL,-1,-1,N/A,29.86,321
